Company Name,Website,City,Country,Founded Year,Total Funding (EUR),Latest Round Type,Latest Round Date
Ilion Water Technologies,https://ilion-watertech.com/,Paris,France,,3,Seed,
Inflowpay,https://inflowpay.com,Paris,France,,1,Seed,
Inicio,https://www.go-inicio.com,Paris,France,,4,Seed,
Initiativ,https://takeinitiativ.com/,Paris,France,,0,Seed,
Innerskin,https://www.innerskin.com,Paris,France,,12,Growth,
ISYBOT,https://www.isybot.com,Paris,France,,7,Series A,
Jay & Joy,https://www.jay-joy.com/,Lacroix-Saint-Ouen,France,,2,,
Jimmy Energy,https://www.jimmy-energy.eu/,Paris,France,,40,Growth,
Jint (formerly Mozzaik365),https://www.jint.ai,Paris,France,,1,Growth,
Jockiz,https://www.jockiz.com,Paris,France,,1,Seed,
Jool,https://www.jool.co/,Paris,France,,1,Seed,
Keria (formerly Cézam),https://keria.tech/,Bordeaux,France,,1,Seed,
Klaro,https://www.klaro.fr,Paris,France,,3,Seed,
KLODIOS,https://klodios.com,Caen,France,,1,Seed,
Komu (ex-Contestio),https://www.komu.eu/,Paris,France,,0,Pre-Seed,
Kotcha,https://www.kotcha.com/,Paris,France,,3,Pre-Seed,
LaFraise,https://lafraise.pro/fr/la-fraise-congr%C3%A9s-adf-paris-2025,Paris,France,,3,Seed,
Lemrock,https://www.lemrock.com/,Paris,France,,6,Seed,
Lexip (formerly Pixminds),https://www.lexip.co/,Barberaz,France,,19,Strategic,
Lifeaz,https://defibrillateur.lifeaz.co/int/en,Paris,France,,13,Series B,
Linkeat,https://www.linkeat.io,Bordeaux,France,,0,Seed,
Linkup,https://www.linkup.so/,Paris,France,,8,Seed,
Lithium de France (subsidiary of Arverne Group),http://www.lithiumdefrance.com,Haguenau,France,,40,Series B,
Living Models,https://www.livingmodels.ai,Paris,France,,6,Seed,
Loft Orbital,https://loftorbital.com,Toulouse,France,,170,Series C,
Ma boîte à Moustique,https://www.maboiteamoustique.fr,Toulouse,France,,1,Seed,
MadeForMed,https://www.madeformed.com/,Saint-Mandé,France,,0,Crowdfunding,
MagicPost,http://magicpost.in,Paris,France,,0,Grant,
MagREEsource,https://www.magreesource.com,Grenoble,France,,23,Growth,
Mantle8,,Grenoble,France,,3,Seed,
May Health,https://mayhealth.com/,Paris,France,,10,Growth,
Mecaware,https://mecaware.com/,Béthune,France,,2,Grant,
Meelo,https://www.getmeelo.com/,,France,,14,Series B,
Metavonics,https://www.metavonics.com/,Paris,France,,7,Series A,
Meteoria,https://meteoria.ai/,Paris,France,,1,Seed,
MNGRS.AI,https://www.mngrs.ai,Paris,France,,1,Seed,
Moïz,https://moiz-eh.com/,Claix,France,,3,Seed,
Molecular Simulation For All (MS4ALL),https://ms4all.eu/,Orléans,France,,0,Seed,
Moments Lab,https://momentslab.com,Boulogne-Billancourt,France,,21,Series B,
MoneyShape,http://www.moneyshape.com/,Paris,France,,0,Pre-Seed,
Monomeris Chemicals,https://monomeris-chemicals.com/,Arras,France,,3,Growth,
Moodwork,https://moodwork.com,Paris,France,,3,,
MovaLife,https://www.mova.life/,Paris,France,,1,Seed,
My Auto Specialist,http://monspecialisteauto.com,Puteaux,France,,,Growth,
MyFit Solutions,https://myfit-solutions.com/,Lyon,France,,2,Seed,
Naali,http://www.naali.fr/,Bron,France,,0,Pre-Seed,
Nabla,https://www.nabla.com/,Paris,France,,63,Series C,
NEO ECO,http://neo-eco.fr,Hallennes-lez-Haubourdin,France,,3,Seed,
NeoEarth,https://www.neoearth.fr/?utm_source=chatgpt.com,Libourne,France,,1,Seed,
NeoFarm,http://neo.farm/,Saint-Nom-la-Bretèche,France,,30,Series B,
Néosylva,https://www.neosylva.fr,Nantes,France,,1,Seed,
Nepsis Energy,https://nepsis.co/,Paris,France,,3,Seed,
Netforce,https://www.nexstun.com,Mauguio,France,,45,Growth,
Newable,https://newable.energy/,Bordeaux,France,,4,Pre-Seed,
newcleo,https://www.newcleo.com/,"Paris, Turin",France,,75,Series B,
NOLT,https://www.wearenolt.com/en/,"Nice, France",France,,1,Seed,
Nona,https://www.nona.fr/,Paris,France,,3,Seed,
Novacium,https://www.novacium.com/,Solaize,France,,2,Seed,
Novem,https://www.novemlab.co/en,Grenoble,France,,0,Seed,
Ocellus,https://ocellus-studio.com/,Lyon,France,,4,Growth,
Olimpe Technology,http://olimpe-technology.com/,La Rochelle,France,,1,Series A,
OneTake AI,https://onetake.ai,Paris,France,,1,Seed,
OOrion,https://www.oorion.fr/,Lyon,France,,1,Seed,
Optitus PV,https://optipus-pv.com/,Marseille,France,,1,Seed,
Opus Aerospace,https://www.opus-aerospace.com/,Brétigny-sur-Orge,France,,1,Seed,
OpusMajor,http://opusmajor.io,Paris,France,,9,Seed,
Ostrea,https://www.ostreadesign.com/,Rennes,France,,5,Seed,
Parallel,http://www.beparallel.com/,Paris,France,,2,Seed,
PGP Farmer,https://www.pgpfarmer.fr,Parcoul-Chenaud,France,,3,Seed,
Pletor,https://pletor.ai,Paris,France,,2,Seed,
PRESAGE,https://presagelabs.ai/,Paris,France,,1,Seed,
Qomon,https://qomon.com/,Paris,France,,5,Series A,
Qovery,https://www.qovery.com/,Paris,France,,11,Series A,
Ray Studios,https://www.ray-studios.com/,Paris,France,,10,Growth,
Reekom,https://reekom.fr/,La Courneuve,France,,4,Seed,
ReGeneration,https://regeneration.eu,Paris,France,,10,,
Retab,,,France,,3,Seed,
Revolt.eco,https://www.revolt.eco/,France,France,,3,Seed,
Revolte Club,https://www.revolte.club/,Paris,France,,4,Seed,
Revolty,,Paris,France,,1,Seed,
Revox,https://www.getrevox.com/,Paris,France,,2,Pre-Seed,
Riot,https://tryriot.com,Paris,France,,28,Series B,
Rivage,https://www.rivage.tech,Paris,France,,2,Pre-Seed,
ROB’OCC,https://www.robocc.fr/,Brens,France,,3,Seed,
Rutile.bike,https://rutile.bike/,Lyon,France,,2,Seed,
Sailiz,https://sailiz.fr/,Lorient,France,,0,Pre-Seed,
Santexpat,https://santexpat.fr/,Paris,France,,26,Series B,
ScorePlay,https://www.scoreplay.io/,Paris,France,,12,Series A,
Sim&Cure,https://sim-and-cure.com,Montpellier,France,,,,
Sim&Cure,https://sim-and-cure.com,Montpellier,France,,3,Series A,
Siteflow,http://siteflow.fr/,Paris,France,,7,Series A,
Skydrone Robotics,https://skydrone-robotics.com/,La Rochelle,France,,5,Series A,
Skyld AI,https://www.skyld.io/,Rennes,France,,1,Seed,
smartTrade Technologies,http://smart-trade.net,Aix-en-Provence,France,,0,Growth,
Solaya,https://www.solaya.ai,Nice,France,,1,Pre-Seed,
Sonar Clarity (rebranded as Avanoo),https://avanoo.com,France,France,,1,Seed,
Spash,https://spash.com,Saint-Priest,France,,2,Seed,
Stairling,https://hydroclimat.com/fr/,Aubagne,France,,2,Seed,
Stellaria,https://www.stellaria.fr/en/,Grenoble,France,,23,Series A,
Suzaku,http://suzaku.network,Paris,France,,1,Seed,
Technologies & Habitats,http://tech-hab.com,,France,,5,Growth,
